행정구역별(시군구),가구주의 성별,가구주의 연령별,항목,년도,가구수,시군구_TF,행정구역별(상세)
　　　노원구,계,합계,2세대가구-부부+양친,2016,164.0,1,서울특별시  노원구
　　　노원구,계,합계,2세대가구-부부+한부모,2016,849.0,1,서울특별시  노원구
　　　노원구,계,합계,2세대가구-부부+미혼자녀+부부미혼형제자매,2016,1045.0,1,서울특별시  노원구
　　　노원구,계,합계,2세대가구-조부모+미혼손자녀,2016,357.0,1,서울특별시  노원구
　　　노원구,계,합계,2세대가구-조부 또는 조모+미혼손자녀,2016,704.0,1,서울특별시  노원구
　　　노원구,계,합계,2세대가구-기타,2016,8296.0,1,서울특별시  노원구
　　　노원구,계,합계,3세대가구-부부+미혼자녀+양친,2016,1062.0,1,서울특별시  노원구
　　　노원구,계,합계,3세대가구-부부+미혼자녀+부친,2016,836.0,1,서울특별시  노원구
　　　노원구,계,합계,3세대가구-부부+미혼자녀+모친,2016,4060.0,1,서울특별시  노원구
　　　노원구,계,합계,3세대가구-기타,2016,4201.0,1,서울특별시  노원구
　　　노원구,계,합계,4세대이상 가구,2016,68.0,1,서울특별시  노원구
　　　노원구,계,합계,1인가구,2016,47641.0,1,서울특별시  노원구
　　　노원구,계,합계,비친족가구,2016,2213.0,1,서울특별시  노원구
　　　은평구,계,합계,일반가구,2016,178775.0,1,서울특별시  은평구
　　　은평구,계,합계,1세대가구-부부,2016,26080.0,1,서울특별시  은평구
　　　은평구,계,합계,1세대가구-부부+미혼형제자매,2016,211.0,1,서울특별시  은평구
　　　은평구,계,합계,1세대가구-부부+기타친인척,2016,46.0,1,서울특별시  은평구
　　　은평구,계,합계,1세대가구-가구주+미혼형제자매,2016,2818.0,1,서울특별시  은평구
　　　은평구,계,합계,1세대가구-가구주+기타친인척,2016,181.0,1,서울특별시  은평구
　　　은평구,계,합계,1세대가구-기타,2016,1031.0,1,서울특별시  은평구
　　　은평구,계,합계,2세대가구-부부+미혼자녀,2016,58850.0,1,서울특별시  은평구
　　　은평구,계,합계,2세대가구-부+미혼자녀,2016,4777.0,1,서울특별시  은평구
　　　은평구,계,합계,2세대가구-모+미혼자녀,2016,16731.0,1,서울특별시  은평구
　　　은평구,계,합계,2세대가구-부부+양친,2016,215.0,1,서울특별시  은평구
　　　은평구,계,합계,2세대가구-부부+한부모,2016,887.0,1,서울특별시  은평구
　　　은평구,계,합계,2세대가구-부부+미혼자녀+부부미혼형제자매,2016,828.0,1,서울특별시  은평구
　　　은평구,계,합계,2세대가구-조부모+미혼손자녀,2016,403.0,1,서울특별시  은평구
　　　은평구,계,합계,2세대가구-조부 또는 조모+미혼손자녀,2016,622.0,1,서울특별시  은평구
　　　은평구,계,합계,2세대가구-기타,2016,8031.0,1,서울특별시  은평구
　　　은평구,계,합계,3세대가구-부부+미혼자녀+양친,2016,1160.0,1,서울특별시  은평구
　　　은평구,계,합계,3세대가구-부부+미혼자녀+부친,2016,770.0,1,서울특별시  은평구
　　　은평구,계,합계,3세대가구-부부+미혼자녀+모친,2016,3691.0,1,서울특별시  은평구
　　　은평구,계,합계,3세대가구-기타,2016,4441.0,1,서울특별시  은평구
　　　은평구,계,합계,4세대이상 가구,2016,84.0,1,서울특별시  은평구
　　　은평구,계,합계,1인가구,2016,44440.0,1,서울특별시  은평구
　　　은평구,계,합계,비친족가구,2016,2478.0,1,서울특별시  은평구
　　　서대문구,계,합계,일반가구,2016,126581.0,1,서울특별시  서대문구
　　　서대문구,계,합계,1세대가구-부부,2016,16411.0,1,서울특별시  서대문구
　　　서대문구,계,합계,1세대가구-부부+미혼형제자매,2016,135.0,1,서울특별시  서대문구
